run,train_error,val_error,val_accuracy,runtime_s
baseline,3.864284356533049,3.8636492932418967,0.02240506329113922,349.67171001434326
mixup_alpha0.2,3.86529435653305,3.8620037236216436,0.024050632911392384,678.6621098518372
cutmix_alpha1.0,3.8643043565330464,3.8662442299507567,0.019810126582278452,1823.9045670032501
mixup_cutmix_combo,3.8647743565330495,3.863965748938099,0.022088607594936686,2116.3378207683563
